"ほげほげ"		,"ホゲホゲ"

# しょぼいカレンダー → RD-Style

# 東京

"NHK総合"		,"ＮＨＫ総合"
#>>---2012.03.15-MOD---
"NHK Eテレ"		,"ＮＨＫ Ｅテレ"
#<<---2012.03.15-MOD---
"TBS"			,"ＴＢＳテレビ"
"TOKYO MX"		,"ＴＯＫＹＯ　ＭＸ"
"tvk"			,"ｔｖｋ"
"チバテレビ"		,"ちばテレビ"
"BS日テレ"		,"ＢＳ日テレ"
"BS朝日"		,"ＢＳ朝日"
"BS-TBS"		,"ＢＳ-ＴＢＳ"
"BS Japan"		,"ＢＳジャパン"
"BSフジ"		,"ＢＳフジ"
"BS11デジタル"		,"BSイレブン"
#>>---2011.08.28-ADD---
"TVQ九州放送", "ＴＶＱ"
"札幌テレビ放送", "ＳＴＶテレビ"
#<<---2011.08.28-ADD---

# 大阪

"MBS毎日放送",		"毎日テレビ"
"ABCテレビ",		"ＡＢＣテレビ"
"ytv",			"読売テレビ"
"KBS京都",		"ＫＢＳ京都"
"サンテレビジョン",	"サンテレビ"

# 鳥取
"ＮＨＫ総合・鳥取"		,"ＮＨＫ総合"
"ＮＨＫ Ｅテレ・鳥取"		,"ＮＨＫ Ｅテレ"


# @nifty -> RD-Style	

"北海道放送",	"ＨＢＣテレビ"
"札幌テレビ",	"ＳＴＶテレビ"
"北海道文化放送",	"ＵＨＢテレビ"
"北海道テレビ",	"ＨＴＢテレビ"
"テレビ北海道",	"ＴＶＨテレビ"
"青森朝日放送",	"ＡＢＡ"
"ＩＢＣ岩手放送",	"ＩＢＣテレビ"
"岩手めんこいテレビ",	"めんこいテレビ"
"ＮＨＫ総合・東京",	"ＮＨＫ総合"
"ＮＨＫ Ｅテレ・東京",	"ＮＨＫ Ｅテレ"
"とちぎテレビ",	"栃木テレビ"
"新潟テレビ21",	"ＵＸ　新潟テレビ２１"
"長野朝日放送",	"長野朝日"
"静岡放送",	"ＳＢＳ"
"あさひテレビ",	"ＳＡＴＶ"
"静岡第一テレビ",	"だいいちテレビ"
"北陸朝日放送",	"北陸朝日"
"ぎふチャン",	"ＧＢＳ"
"毎日放送",	"毎日テレビ"
"テレビせとうち",	"ＴＳＣテレビせとうち"
"テレビ愛媛",	"愛媛放送"
"愛媛朝日テレビ",	"ＥＡＴ"
"テレビ西日本",	"ＴＮＣ"
"九州朝日放送",	"ＫＢＣ"
"福岡放送",	"ＦＢＳ"
"ＴＶＱ九州",	"ＴＶＱ"
"サガテレビ",	"ＳＴＳ"
"熊本放送",	"ＲＫＫ"
"テレビ熊本",	"ＴＫＵ"
"熊本県民テレビ",	"ＫＫＴ"
"熊本朝日放送",	"ＫＡＢ"
"長崎放送",	"ＮＢＣ"
"テレビ長崎",	"ＫＴＮ"
"長崎文化放送",	"ＮＣＣ"
"長崎国際テレビ",	"ＮＩＢ"
"大分放送",	"ＯＢＳ"
"テレビ大分",	"ＴＯＳ"
"大分朝日放送",	"ＯＡＢ"
"宮崎放送",	"ＭＢＣ"
"テレビ宮崎",	"ＵＭＫ"
"南日本放送",	"ＭＢＣ"
"鹿児島テレビ",	"ＫＴＳ"
"鹿児島放送",	"ＫＫＢ"
"鹿児島読売テレビ",	"ＫＹＴ"
"琉球朝日放送",	"ＱＡＢ"
"ＢＳ－ＴＢＳ",	"ＢＳ-ＴＢＳ"
"ＢＳイレブン",	"BSイレブン"
"トゥエルビ",	"TwellV"
#---2011.04.01-ADD---
"ＢＳ１"	,"NHK BS1"
"ＢＳプレミアム"	,"NHK BSプレミアム"
#---2011.04.01-ADD---



# webザテレビジョン -> RD-Style	

"ＮＨＫ総合・札幌",	"ＮＨＫ総合・北海道"
"ＮＨＫ Ｅテレ・札幌",	"ＮＨＫ Ｅテレ・北海道"
"ＮＨＫ Ｅテレ3・札幌",	"ＮＨＫ Ｅテレ3・北海道"
"HBC北海道放送1",	"ＨＢＣテレビ"
"札幌テレビ1",	"ＳＴＶテレビ"
"HTB1",	"ＨＴＢテレビ"
"TVh1",	"ＴＶＨテレビ"
"北海道文化放送1",	"ＵＨＢテレビ"
"RAB青森放送1",	"青森放送"
"ATV青森テレビ",	"青森テレビ"
"秋田放送1",	"秋田放送"
"AKT秋田テレビ1",	"秋田テレビ"
"ＮＨＫ Ｅテレ3・盛岡","ＮＨＫ Ｅテレ3・岩手"
"テレビ岩手1",	"テレビ岩手"
"IBCテレビ1",	"ＩＢＣテレビ"
"めんこいテレビ1",	"めんこいテレビ"
"山形放送1",	"山形放送"
"TUY1",	"テレビユー山形"
"さくらんぼテレビ1",	"さくらんぼテレビ"
"ＮＨＫ総合・仙台",	"ＮＨＫ総合・宮城"
"ＮＨＫ Ｅテレ・仙台",	"ＮＨＫ Ｅテレ・宮城"
"ＮＨＫ Ｅテレ3・仙台",	"ＮＨＫ Ｅテレ3・宮城"
"TBCテレビ1",	"東北放送"
"東日本放送CH1",	"東日本放送"
"福島中央テレビ1",	"福島中央テレビ"
"KFB福島放送1",	"福島放送"
"FTV福島テレビ1",	"福島テレビ"
"ＮＨＫ総合・水戸",	"ＮＨＫ総合・茨城"
"チバテレビ1",	"ちばテレビ"
"TeNY1",	"テレビ新潟"
"新潟テレビ21_1",	"ＵＸ　新潟テレビ２１"
"BSN1",	"新潟放送"
"新潟総合テレビ1",	"新潟総合テレビ"
"とちぎテレビ1",	"栃木テレビ"
"テレ玉1",	"テレ玉"
"ＮＨＫ Ｅテレ3・東京",	"ＮＨＫ Ｅテレ3"
"日テレ1",	"日本テレビ"
"TBS1",	"ＴＢＳテレビ"
"テレビ東京1",	"テレビ東京"
"TOKYO MX1",	"ＴＯＫＹＯ　ＭＸ"
"TOKYO MX2",	"ＴＯＫＹＯ　ＭＸ・２"
"放送大学1",	"放送大学"
"群馬テレビ1",	"群馬テレビ"
"ＮＨＫ総合・甲府",	"ＮＨＫ総合・山梨"
"ＮＨＫ Ｅテレ・甲府",	"ＮＨＫ Ｅテレ・山梨"
"ＮＨＫ Ｅテレ3・甲府",	"ＮＨＫ Ｅテレ3・山梨"
"山梨放送1",	"山梨放送"
"UTY1",	"テレビ山梨"
"tvk1",	"ｔｖｋ"
"KNBテレビ1",	"北日本放送"
"チューリップテレビ1",	"チューリップテレビ"
"富山テレビ放送1",	"富山テレビ"
"テレビ信州1",	"テレビ信州"
"SBC信越放送1",	"信越放送"
"静岡第一テレビ1",	"だいいちテレビ"
"静岡朝日テレビ1",	"ＳＡＴＶ"
"SBS1",	"ＳＢＳ"
"ＮＨＫ総合・金沢",	"ＮＨＫ総合・石川"
"ＮＨＫ Ｅテレ・金沢",	"ＮＨＫ Ｅテレ・石川"
"ＮＨＫ Ｅテレ3・金沢",	"ＮＨＫ Ｅテレ3・石川"
"テレビ金沢1",	"テレビ金沢"
"MRO1",	"北陸放送"
"HAB1",	"北陸朝日"
"石川テレビ1",	"石川テレビ"
"ＮＨＫ総合・名古屋",	"ＮＨＫ総合・愛知"
"ＮＨＫ Ｅテレ・名古屋",	"ＮＨＫ Ｅテレ・愛知"
"ＮＨＫ Ｅテレ3・名古屋",	"ＮＨＫ Ｅテレ3・愛知"
"東海テレビ011",	"東海テレビ"
"中京テレビ1",	"中京テレビ"
"CBC",	"ＣＢＣテレビ"
"メ〜テレ",	"メ～テレ"
"テレビ愛知1",	"テレビ愛知"
"福井放送1",	"福井放送"
"福井テレビ1",	"福井テレビ"
"ＮＨＫ総合・大津",	"ＮＨＫ総合・滋賀"
"BBCびわ湖放送1",	"びわ湖放送"
"奈良テレビ1",	"奈良テレビ"
"NHK総合1・津",	"ＮＨＫ総合・三重"
"三重テレビ1",	"三重テレビ"
"ABCテレビ1",	"ＡＢＣテレビ"
"テレビ大阪1",	"テレビ大阪"
"関西テレビ1",	"関西テレビ"
"読売テレビ1",	"読売テレビ"
"WTV1",	"テレビ和歌山"
